repo,style,start,end,duration_days,changes,changes_per_100d
fossasia__phimpme-android,Emu_Custom,2016-08-15T10:08:37+02:00,2025-08-10T23:59:59+00:00,3282.660671296296,0,0.0
freeotp__freeotp-android,Emu_Community,2023-09-05T16:26:33-04:00,2025-08-10T23:59:59+00:00,705.1482175925926,0,0.0
GabrielBB__Android-CutOut,Emu_Custom,2018-12-04T21:23:30-04:00,2025-08-10T23:59:59+00:00,2440.942002314815,0,0.0
gdky005__AndroidBadge,Emu_Custom,2017-04-27T19:54:38+08:00,2025-08-10T23:59:59+00:00,3027.5037152777777,0,0.0
gemwalletcom__gem-android,Emu_Community,2024-06-03T19:26:28+09:00,2025-08-10T23:59:59+00:00,433.5649421296296,0,0.0
GerardPaligot__android-countdown,Emu_Community,2021-03-03T20:55:04+01:00,2025-08-10T23:59:59+00:00,1621.1700810185184,0,0.0
getodk__collect,Emu_Custom,2017-03-16T13:01:00-04:00,2017-11-15T13:19:42-08:00,244.1796527777778,0,0.0
getodk__collect,ThirdParty,2017-11-15T13:19:42-08:00,2025-08-10T23:59:59+00:00,2825.11130787037,0,0.0
getsentry__sentry-react-native,Emu_Community,2020-08-20T20:27:38+07:00,2025-08-10T23:59:59+00:00,1816.4391319444444,0,0.0
glpi-project__android-inventory-agent,Emu_Custom,2017-09-01T11:33:04-04:00,2018-08-02T11:09:45-04:00,334.98380787037036,0,0.0
glpi-project__android-inventory-agent,ThirdParty,2018-08-02T11:09:45-04:00,2025-08-10T23:59:59+00:00,2565.3682175925924,0,0.0
google__jetpack-camera-app,GMD,2024-03-25T18:42:31-07:00,2025-08-10T23:59:59+00:00,502.9287962962963,0,0.0
gotev__android-cookie-store,Emu_Community,2020-11-27T07:16:26+01:00,2025-08-10T23:59:59+00:00,1717.738576388889,0,0.0
gotev__android-speech,Emu_Community,2020-11-27T07:14:29+01:00,2025-08-10T23:59:59+00:00,1717.7399305555555,0,0.0
greenaddress__abcore,Emu_Custom,2016-01-23T00:24:41+01:00,2025-08-10T23:59:59+00:00,3488.024513888889,0,0.0
grote__Transportr,Emu_Custom,2017-10-07T09:52:38-03:00,2021-05-30T14:48:48-03:00,1331.2056712962963,0,0.0
grote__Transportr,Emu_Community,2021-05-30T14:48:48-03:00,2025-08-10T23:59:59+00:00,1533.2577662037038,0,0.0
guardianproject__proofmode-android,Emu_Custom,2017-02-24T00:33:38-05:00,2025-08-10T23:59:59+00:00,3089.7682986111113,0,0.0
guolindev__android-dev-challenge-compose,Emu_Community,2021-02-25T21:38:31+08:00,2025-08-10T23:59:59+00:00,1627.431574074074,0,0.0
H-PixelDroid__PixelDroid,Emu_Custom,2020-02-28T00:41:05+01:00,2022-07-26T17:54:13+02:00,879.675787037037,0,0.0
H-PixelDroid__PixelDroid,GMD,2022-07-26T17:54:13+02:00,2025-08-10T23:59:59+00:00,1111.337337962963,0,0.0
haiyangwu__mediasoup-client-android,Emu_Custom,2020-02-10T00:04:13+08:00,2025-08-10T23:59:59+00:00,2009.3303935185186,0,0.0
hannesa2__panoramaGL,Emu_Community,2023-05-01T07:53:54+02:00,2025-08-10T23:59:59+00:00,832.7542245370371,0,0.0
hannesstruss__unearthed,Emu_Community,2020-02-15T13:24:13+01:00,2025-08-10T23:59:59+00:00,2003.4831712962964,0,0.0
haqq-network__haqq-wallet,Emu_Community,2024-01-05T08:50:42+00:00,2025-08-10T23:59:59+00:00,583.6314467592592,0,0.0
haroldadmin__MoonShot,Emu_Custom,2019-05-29T00:42:14+05:30,2020-01-01T11:19:02+05:30,217.44222222222223,0,0.0
haroldadmin__MoonShot,Emu_Community,2020-01-01T11:19:02+05:30,2025-08-10T23:59:59+00:00,2048.7576041666666,0,0.0
hitherejoe__HackerNewsReader,Emu_Custom,2015-05-18T16:06:30+01:00,2025-08-10T23:59:59+00:00,3737.370474537037,0,0.0
hitherejoe__minimise,Emu_Community,2020-08-01T06:42:47+01:00,2025-08-10T23:59:59+00:00,1835.7619444444445,0,0.0
hitherejoe__MVVM_Hacker_News,Emu_Custom,2015-05-18T16:06:30+01:00,2025-08-10T23:59:59+00:00,3737.370474537037,0,0.0
Hny0305Lin__NLChat,Emu_Community,2024-07-08T05:16:37+08:00,2025-08-10T23:59:59+00:00,399.1134490740741,0,0.0
hoc081098__ViewBindingDelegate,Emu_Community,2020-09-09T01:42:13+07:00,2025-08-10T23:59:59+00:00,1797.2206712962964,0,0.0
HYY-yu__TableRecyclerView,Emu_Custom,2017-10-16T11:43:48+08:00,2025-08-10T23:59:59+00:00,2855.8445717592595,0,0.0
ianthetechie__uniffi-starter,Emu_Community,2024-10-03T11:06:51+09:00,2025-08-10T23:59:59+00:00,311.91189814814817,0,0.0
ICBNetwork__web3-Wallet,ThirdParty,2024-05-10T13:40:47+03:00,2025-08-10T23:59:59+00:00,457.555,0,0.0
ice-blockchain__mobile-app,Emu_Community,2023-03-23T09:46:39+02:00,2025-08-10T23:59:59+00:00,871.675925925926,0,0.0
inaturalist__iNaturalistAndroid,Emu_Community,2021-09-08T09:45:03-07:00,2025-08-10T23:59:59+00:00,1432.302037037037,0,0.0
inaturalist__iNaturalistReactNative,Emu_Custom,2022-12-14T17:58:31+01:00,2024-06-16T13:56:11+02:00,549.7900462962963,0,0.0
inaturalist__iNaturalistReactNative,Emu_Community,2024-06-16T13:56:11+02:00,2024-06-19T10:23:23+02:00,2.852222222222222,0,0.0
inaturalist__iNaturalistReactNative,Emu_Custom,2024-06-19T10:23:23+02:00,2025-08-10T23:59:59+00:00,417.6504166666667,0,0.0
invertase__notifee,Emu_Custom,2020-12-28T19:08:36-05:00,2024-04-09T14:23:10-05:00,1197.8017824074075,0,0.0
invertase__notifee,Emu_Community,2024-04-09T14:23:10-05:00,2025-08-10T23:59:59+00:00,488.1922337962963,0,0.0
invertase__react-native-google-mobile-ads,Emu_Custom,2021-04-22T18:25:51-05:00,2022-04-27T14:48:44-05:00,369.84922453703706,0,0.0
invertase__react-native-google-mobile-ads,Emu_Community,2022-04-27T14:48:44-05:00,2025-08-10T23:59:59+00:00,1201.1744791666667,0,0.0
ipfs-shipyard__gomobile-ipfs,Emu_Custom,2020-03-13T20:47:42+01:00,2025-08-10T23:59:59+00:00,1976.1751967592593,0,0.0
irgaly__kfswatch,GMD,2023-03-14T23:36:39+09:00,2023-03-15T03:30:13+09:00,0.16219907407407408,0,0.0
irgaly__kfswatch,Emu_Community,2023-03-15T03:30:13+09:00,2025-08-10T23:59:59+00:00,880.2290046296297,0,0.0
irgaly__kfswatch,GMD,2023-03-15T03:30:13+09:00,2025-08-10T23:59:59+00:00,880.2290046296297,0,0.0
isar__isar,Emu_Community,2021-03-18T23:10:04+01:00,2022-11-12T19:23:41+01:00,603.8427893518518,0,0.0
isar__isar,ThirdParty,2022-11-12T19:23:41+01:00,2023-07-23T01:56:53+02:00,252.2313888888889,0,0.0
isar__isar,Emu_Community,2023-07-23T01:56:53+02:00,2024-05-19T20:39:51+02:00,301.779837962963,0,0.0
isar__isar,ThirdParty,2023-07-23T01:56:53+02:00,2024-05-19T20:39:51+02:00,301.779837962963,0,0.0
