file,job,step_name,matched_keywords,detection_method,full_step_json
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andriydruk.swift-weather-app.GitHub_Actions.android-core.yml,build,Create Android Emulator,"['emulator', 'avdmanager', 'create avd']",standard,"{
  ""name"": ""Create Android Emulator"",
  ""run"": ""$ANDROID_HOME/tools/bin/avdmanager create avd -n ci-test -k \""system-images;android-29;google_apis;x86_64\"" -d \""pixel\""""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andriydruk.swift-weather-app.GitHub_Actions.android-core.yml,build,Start Android Emulator,['emulator'],standard,"{
  ""name"": ""Start Android Emulator"",
  ""run"": ""$ANDROID_HOME/emulator/emulator -no-window -avd ci-test -noaudio > /dev/null &""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andriydruk.swift-weather-app.GitHub_Actions.android-core.yml,build,Run connected android tests,"['adb', 'wait-for-device']",standard,"{
  ""name"": ""Run connected android tests"",
  ""run"": ""export ANDROID_NDK_HOME=$(pwd)/android-ndk-r21e; export SWIFT_ANDROID_ARCH=x86_64; export SWIFT_ANDROID_HOME=$(pwd)/swift-android-current; export PATH=$ANDROID_NDK_HOME:$PATH; export PATH=$SWIFT_ANDROID_HOME/bin:$SWIFT_ANDROID_HOME/build-tools/current:$PATH; adb wait-for-device; cd core; sourcery; swift-test""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andstatus.andstatus.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'avdmanager', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ankidroid.Anki-Android.GitHub_Actions.tests_emulator.yml,emulator_test,AVD cache,['adb'],standard,"{
  ""name"": ""AVD cache"",
  ""uses"": ""actions/cache@v3"",
  ""id"": ""avd-cache"",
  ""with"": {
    ""path"": ""~/.android/avd/*\n~/.android/adb*\n"",
    ""key"": ""avd-${{ matrix.api-level }}-${{ matrix.arch }}-${{matrix.target}}-v1-${{ github.event.inputs.clearCaches }}"",
    ""restore-keys"": ""avd-${{ matrix.api-level }}-${{ matrix.arch }}-${{matrix.target}}-v1\n""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ankidroid.Anki-Android.GitHub_Actions.tests_emulator.yml,emulator_test,AVD Boot and Snapshot Creation,"['emulator', 'adb', 'android-emulator']",standard,"{
  ""name"": ""AVD Boot and Snapshot Creation"",
  ""if"": ""${{ github.event.inputs.clearCaches != '' || (steps.avd-cache.outputs.cache-hit != 'true' && github.ref == 'refs/heads/main') }}"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""force-avd-creation"": false,
    ""target"": ""${{ matrix.target }}"",
    ""arch"": ""${{ matrix.arch }}"",
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""sdcard-path-or-size"": ""100M"",
    ""disable-animations"": true,
    ""script"": ""touch adb-log.txt\n$ANDROID_HOME/platform-tools/adb logcat '*:D' >> adb-log.txt &\nadb logcat --clear\necho \""Generated AVD snapshot for caching.\""\n""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ankidroid.Anki-Android.GitHub_Actions.tests_emulator.yml,emulator_test,Emulator Snapshot After Firstboot Warmup,"['emulator', 'adb', 'android-emulator']",standard,"{
  ""name"": ""Emulator Snapshot After Firstboot Warmup"",
  ""if"": ""${{ github.event.inputs.clearCaches != '' || (steps.avd-cache.outputs.cache-hit != 'true' && github.ref == 'refs/heads/main') }}"",
  ""env"": {
    ""FIRST_BOOT_DELAY"": ""${{ matrix.first-boot-delay }}""
  },
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""force-avd-creation"": false,
    ""target"": ""${{ matrix.target }}"",
    ""arch"": ""${{ matrix.arch }}"",
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""sdcard-path-or-size"": ""100M"",
    ""disable-animations"": true,
    ""script"": ""touch adb-log.txt\n$ANDROID_HOME/platform-tools/adb logcat '*:D' >> adb-log.txt &\n$ANDROID_HOME/platform-tools/adb shell su root \""setprop ctl.restart zygote\""\nsleep 10\nsleep $FIRST_BOOT_DELAY\nadb logcat --clear\necho \""First boot warmup completed.\""\n""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ankidroid.Anki-Android.GitHub_Actions.tests_emulator.yml,emulator_test,Run Emulator Tests,"['emulator', 'adb', 'android-emulator', 'run emulator']",standard,"{
  ""name"": ""Run Emulator Tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""timeout-minutes"": 30,
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""force-avd-creation"": false,
    ""target"": ""${{ matrix.target }}"",
    ""arch"": ""${{ matrix.arch }}"",
    ""emulator-options"": ""-no-snapshot-save -no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""sdcard-path-or-size"": ""100M"",
    ""disable-animations"": true,
    ""script"": ""touch adb-log.txt\n$ANDROID_HOME/platform-tools/adb logcat '*:D' >> adb-log.txt &\nsleep 5\n./gradlew uninstallAll jacocoAndroidTestReport --daemon\n""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ankidroid.Anki-Android.GitHub_Actions.tests_emulator.yml,emulator_test,Compress Emulator Log,"['emulator', 'adb']",standard,"{
  ""name"": ""Compress Emulator Log"",
  ""if"": ""always()"",
  ""run"": ""gzip -9 adb-log.txt"",
  ""shell"": ""bash""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ankidroid.Anki-Android.GitHub_Actions.tests_emulator.yml,emulator_test,Upload Emulator Log,"['emulator', 'adb']",standard,"{
  ""name"": ""Upload Emulator Log"",
  ""uses"": ""actions/upload-artifact@v3"",
  ""if"": ""always()"",
  ""with"": {
    ""name"": ""${{ matrix.api-level }}-${{ matrix.arch }}-${{matrix.target}}-${{matrix.first-boot-delay}}-${{matrix.iteration}}-adb_logs"",
    ""path"": ""adb-log.txt.gz""
  }
}"
