40b54fb | Artem Chepurnoy | Thu May 9 12:44:57 2019 +0300 | Use simple dialog as a base for About dialog
2770fa6 | Artem Chepurnoy | Wed May 8 18:38:04 2019 +0300 | Update About dialog
2ba0a0c | Artem Chepurnoy | Wed Mar 13 14:52:50 2019 +0200 | Update About dialog's content
6eb592a | Artem Chepurnoy | Wed Mar 13 11:56:18 2019 +0200 | Move starting positions to a separate file
b245d89 | Artem Chepurnoy | Wed Mar 13 11:30:42 2019 +0200 | Clear standard widget test
4727dcd | Artem Chepurnoy | Wed Mar 13 11:29:09 2019 +0200 | Add Codemagic badge
2855752 | Artem Chepurnoy | Sat Mar 9 09:03:37 2019 +0200 | Bump version to 1.2.3+16
2b95a6c | Artem Chepurnoy | Sat Mar 9 09:03:14 2019 +0200 | Decrease board's move animation's duration to 400ms (from 600ms)
78e3e2b | Artem Chepurnoy | Sat Mar 9 08:59:28 2019 +0200 | Bump version to 1.2.2+15
2656753 | Artem Chepurnoy | Sat Mar 9 08:57:52 2019 +0200 | Fixes #7
763d2c6 | Artem Chepurnoy | Sat Mar 9 08:40:26 2019 +0200 | Change repository icon to a `Code` icon
b2cb94b | Artem Chepurnoy | Sat Mar 9 08:35:53 2019 +0200 | Set the size of a stopwatch text widget to a constant
9750a2f | Artem Chepurnoy | Fri Mar 1 08:29:54 2019 +0200 | Bump version to 1.2.1+14
22ff87c | Artem Chepurnoy | Wed Feb 27 17:40:32 2019 +0200 | Bump version to 1.2.0+13
d21c20a | Artem Chepurnoy | Wed Feb 27 17:38:21 2019 +0200 | Support swiping the chips by gestures
9b62dd4 | Artem Chepurnoy | Tue Feb 26 23:06:09 2019 +0200 | Bump version to 1.1.6+12
29bdb6a | Artem Chepurnoy | Sun Feb 24 14:40:26 2019 +0200 | Add  flavor for F-Droid
0c376e3 | Artem Chepurnoy | Sun Feb 24 14:39:53 2019 +0200 | Migrate to AndroidX
a31037a | Artem Chepurnoy | Sun Feb 24 14:34:52 2019 +0200 | Remove rxdart dependency
bc196d8 | Artem Chepurnoy | Sun Feb 24 14:34:25 2019 +0200 | Fallback to empty state if parsing saved state has failed
e015e4e | Artem Chepurnoy | Sat Feb 23 11:14:35 2019 +0200 | Migrate to latest encrypt library
1e5235b | Artem Chepurnoy | Thu Feb 21 08:07:17 2019 +0200 | Use Material app on iOS
786c446 | Artem Chepurnoy | Sun Feb 10 12:27:08 2019 +0200 | Bump version to 1.1.5+11
7b28b69 | Artem Chepurnoy | Sun Feb 10 11:05:59 2019 +0200 | Bump version to 1.1.5+10
f5810d7 | Artem Chepurnoy | Sun Feb 10 11:05:04 2019 +0200 | Material: New more compact and beautiful bottom page sheet
5986300 | Artem Chepurnoy | Tue Jan 22 21:50:39 2019 +0200 | Bump version to 1.1.4+10
e128768 | Artem Chepurnoy | Tue Jan 22 21:50:13 2019 +0200 | Make the complexity of 5x5 puzzle more consistent
842e02f | Artem Chepurnoy | Tue Jan 22 08:47:54 2019 +0200 | Color the control button depending on its state
612df74 | Artem Chepurnoy | Tue Jan 22 08:46:52 2019 +0200 | Move time-format functions to separate file
6debd5f | Artem Chepurnoy | Wed Jan 9 19:20:15 2019 +0200 | Bump version to 1.1.3+9
6f8c161 | Artem Chepurnoy | Wed Jan 9 19:19:36 2019 +0200 | Update leaderboard keys
a2cc17b | Artem Chepurnoy | Wed Jan 9 19:16:06 2019 +0200 | Refactor code a lil bit
5a98591 | Artem Chepurnoy | Tue Jan 8 08:17:12 2019 +0200 | Protect saved state from being edited
19bdbef | Artem Chepurnoy | Mon Jan 7 17:42:10 2019 +0200 | Bump version to 1.1.2+8
f5545a9 | Artem Chepurnoy | Mon Jan 7 17:41:47 2019 +0200 | Inverse 4x4 initial states (make it solvable again)
